Zip Code,Year,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years)
94515,2019,7491.0,53.4,46.6,5.5,4.1,4.7,4.8,3.2,14.2,13.0,12.5,5.8,9.1,10.9,8.5,3.8,
94515,2020,7525.0,54.8,45.2,7.0,4.3,2.5,3.9,4.5,14.7,11.1,13.7,5.3,8.6,10.8,10.4,3.2,
94515,2021,7269.0,50.7,49.3,6.1,5.2,3.4,3.6,4.6,11.2,11.4,14.2,5.6,8.8,12.9,9.4,3.6,
94515,2022,7024.0,54.3,45.7,4.8,2.3,2.9,4.8,5.1,13.1,9.5,19.1,5.6,6.9,14.7,8.5,2.6,
94533,2017,74833.0,49.4,50.6,6.5,8.0,7.0,6.9,7.7,15.5,12.6,13.2,5.7,5.1,6.6,3.9,1.3,
94533,2018,75635.0,49.6,50.4,7.1,7.4,6.8,6.9,7.2,16.1,12.5,13.4,5.5,5.3,6.7,3.6,1.5,0.0
94533,2019,75909.0,49.2,50.8,7.4,7.0,6.7,6.9,7.1,16.8,12.3,13.1,5.6,5.4,6.5,3.6,1.6,
94533,2020,78695.0,48.6,51.4,7.6,6.2,7.4,6.5,7.1,17.0,12.2,12.5,5.7,5.2,7.2,3.5,1.9,
94533,2021,79665.0,49.1,50.9,7.3,6.1,7.6,6.5,7.2,17.2,12.3,12.4,5.8,5.3,7.1,3.4,1.7,
94533,2022,78129.0,49.1,50.9,6.9,6.0,7.0,6.7,7.0,16.8,12.4,12.7,5.8,5.3,7.5,3.8,2.0,
94534,2017,37409.0,48.8,51.2,5.4,6.4,6.1,6.3,5.7,11.5,12.9,15.7,7.3,7.7,9.4,3.5,2.1,
94534,2018,38444.0,48.5,51.5,6.0,6.4,5.9,5.6,5.8,11.4,13.0,15.1,7.4,8.1,9.3,3.7,2.1,0.0
94534,2019,39239.0,49.1,50.9,5.6,6.1,7.0,5.8,4.7,12.2,14.1,13.2,7.9,7.7,10.0,3.5,2.2,
94534,2020,38471.0,50.7,49.3,5.7,5.5,6.6,5.8,4.9,12.3,14.3,14.1,6.8,7.2,10.7,4.2,1.9,
94534,2021,39318.0,51.3,48.7,6.4,5.6,7.0,5.8,4.8,10.7,15.9,13.0,6.4,7.4,10.6,4.7,1.5,
94534,2022,41395.0,50.3,49.7,6.3,6.2,6.9,6.3,5.6,10.7,15.2,12.9,6.5,6.0,10.5,5.2,1.9,
94535,2017,4130.0,51.9,48.1,18.0,10.7,8.4,3.3,14.4,32.1,9.8,2.1,0.7,0.1,0.5,0.0,0.0,
94535,2018,3857.0,51.4,48.6,16.9,10.3,9.0,3.3,14.0,29.8,9.4,4.6,1.6,0.6,0.5,0.0,0.0,0.0
94535,2019,3842.0,51.1,48.9,18.7,12.0,8.4,3.8,11.1,31.5,8.5,4.3,1.1,0.6,0.0,0.0,0.0,
94535,2020,3407.0,52.8,47.2,16.6,12.9,7.7,4.3,14.0,28.9,11.1,2.6,0.9,0.5,0.5,0.0,0.0,
94535,2021,3663.0,49.5,50.5,19.0,11.7,7.5,4.7,12.6,26.9,13.3,2.8,0.8,0.5,0.2,0.0,0.0,
94535,2022,3873.0,54.2,45.8,17.7,10.7,7.5,4.1,15.7,27.6,12.7,2.5,0.7,0.6,0.2,0.0,0.0,
94558,2017,68617.0,49.9,50.1,5.1,5.1,7.0,6.7,6.0,12.5,12.0,13.9,7.2,6.7,10.1,5.1,2.5,
94558,2018,69142.0,49.9,50.1,4.9,5.6,6.9,6.5,5.8,12.3,12.4,13.6,7.1,6.8,10.3,5.3,2.6,0.0
94558,2019,68315.0,49.5,50.5,4.8,5.5,6.8,6.5,5.7,12.2,12.1,13.6,7.4,6.4,10.9,5.6,2.4,
94558,2020,66854.0,49.0,51.0,4.3,5.2,7.0,6.5,5.6,11.9,11.9,13.4,7.5,6.6,11.5,6.2,2.4,
94558,2021,66345.0,49.6,50.4,4.5,5.0,6.8,6.1,5.3,12.1,12.1,13.3,7.6,6.6,11.8,6.3,2.5,
94558,2022,65084.0,49.9,50.1,4.2,4.6,6.9,6.0,5.6,11.5,12.3,13.1,7.8,6.8,11.8,6.7,2.9,
94559,2017,28089.0,51.0,49.0,6.4,6.0,7.3,5.4,6.9,14.4,13.8,13.5,6.2,5.8,8.3,3.9,2.0,
94559,2018,27523.0,51.1,48.9,6.4,5.1,7.0,5.4,6.4,14.7,13.4,13.1,6.4,6.4,9.1,4.4,2.1,0.0
94559,2019,27593.0,51.1,48.9,6.0,5.1,7.1,5.4,6.4,14.6,14.8,11.9,6.7,6.3,9.6,4.3,1.9,
94559,2020,27564.0,50.4,49.6,6.5,5.6,6.7,5.8,6.1,14.3,15.4,11.3,6.6,6.2,9.8,4.1,1.6,
